Kylian Mbappe (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,145,145,145
Nemanja Matic (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,44,44
Neymar (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,222,222,222
Oscar (Shanghai SIPG),Shanghai SIPG,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60
Ousmane Dembele (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,105,105,105
Romelu Lukaku (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,84,84,84
Tiemoue Bakayoko (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45,45
Alisson Becker (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,73,73
Aymeric Laporte (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,65
Cristiano Ronaldo (Juventus),Juventus,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100
Diego Costa (Atletico Madrid),Atletico Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,66,66
Fabinho (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50
Fred (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58
Jorginho (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58
Kepa Arrizabalaga (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,80
Naby Keita (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60
Philippe Coutinho (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120,120
Pierre-Emerick Aubameyang (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,63,63
Richarlison (Everton),Everton,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45
Thomas Lemar (Atletico Madrid),Atletico Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,65
Vinicius Junior (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45
Virgil van Dijk (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,84,84
Aaron Wan-Bissaka (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50
Antoine Griezmann (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,120
Eden Hazard (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
Eder Militao (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50
Ferland Mendy (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48
Frenkie de Jong (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
Harry Maguire (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,87
Joao Cancelo (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65
Joao Felix (Atletico Madrid),Atletico Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,126
Lucas Hernandez (Bayern Munich),Bayern Munich,Germany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80
Luka Jovic (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70
Mateo Kovacic (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45
Matthijs de Ligt (Juventus),Juventus,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75
Nicolas Pepe (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79
Riyad Mahrez (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67
Rodri (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70
Rodrygo (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45
Romelu Lukaku (Inter),Inter,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80
Sebastien Haller (West Ham),West Ham,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45
